AGM000005,开户日期,Account opening date
AGM000304,托收编号,Collection business number
AGM000305,委托日期,Collection business start date
AGM000306,交单方式代码,Document mode
AGM000307,付款期限,Deadline of payment
AGM000308,托收委托人名称,Client name
AGM000309,托收委托人开户银行名称,Opening bank name of client
AGM000310,托收委托人账号,Account number of client
AGM000311,付款人名称,Drawee name
AGM000312,付款人详细地址,Drawee address
AGM000313,托收银行名称,Name of remitting bank
AGM000314,托收银行业务参考号,Remitting bank business reference number
AGM000315,代收银行名称,Name of collecting bank
AGM000316,代收银行地址,Address of collecting bank
AGM000317,托收单据金额,Amount of documents
AGM000318,付款金额,Amount of payment
AGM000319,代理第三方存管协议编号,Agent third-party depository agreement number
AGM000320,联网行账号,Account number in third-party depository bank
AGM000321,第三方存管签约日期,Third-party depository agreement signed date
AGM000322,第三方存管生效日期,Third-party depository agreement effective date
AGM000324,协议状态代码,Third-party depository business status
AGM000326,证券资金账号,Securities fund account number
AGM000327,折算汇率,Exchange rate
AGM000328,签约机构名称,contract signed agency
AGM000329,签约金额,contract signed amount
AGM000330,实际保本率,Absolutely break-even rate
AGM000331,实际投资年化收益率,Actual annual yield
AGM000332,客户前端收费金额,Customer front_end fee
AGM000333,理财产品预期年化收益率,Expected annual yield of financial products
AGM000334,理财规划份数,Amount of financial plans
AGM000335,理财规划日期,Date of financial plans
AGM000336,黄金交易委托方式代码,Order mode of gold transaction
AGM000337,持仓到期日期,Position due date
AGM000338,多头持仓,Long position
AGM000339,空头持仓,Short position
AGM000340,平仓数量,Amount of closing position
AGM000341,交收数量,Settlement amount
AGM000343,贵金属交易金额,Amount of precious metal trade
AGM000344,贵金属购买数量,Precious metal purchasing amount
AGM000345,贵金属提货日期,Precious metal  delivery date
AGM000346,协议编号,Agreement number
AGM000347,收单机构名称,Acquirer name
AGM000349,MCC码,MCC code
AGM000350,商户开户银行名称,Merchant's opening bank name
AGM000351,商户账号,Merchant's account
AGM000352,商户营业执照名称,Merchant's business license
AGM000353,特约商户地址,Merchant's address
AGM000354,商户属性代码,Merchant's attribution
AGM000355,境内银联卡手续费率,Domestic UnionPay card fee rate
AGM000356,境外银联卡手续费率,Overseas UnionPay card fee rate
AGM000357,商户联系电话,Merchant's phone number
AGM000358,商户收单签约日期,Merchant acquiring signed date
AGM000359,商户收单协议有效期,Validity of merchant acquiring agreement
AGM000360,商户收单协议生效日期,Merchant acquiring agreement start date
AGM000361,商户收单协议到期日期,Merchant acquiring agreement due date
AGM000362,商户收单协议终止日期,Merchant acquiring agreement end date
AGM000363,拓展机构编号,Develop organization
AGM000364,鲜特汇协议编号,XTH agreement number
AGM000365,鲜特汇协议生效日期,XTH agreement start date
AGM000366,鲜特汇协议到期日期,XTH agreement due date
AGM000367,鲜特汇协议终止日期,XTH agreement end date
AGM000368,银联借记卡支付手续费率,UnionPay debit card payment fee rate
AGM000369,银联贷记卡支付手续费率,UnionPay credit card payment fee rate
AGM000370,微信支付手续费率,Wechat payment fee rate
AGM000371,支付宝支付手续费率,Alipay payment fee rate
AGM000372,同业市场成交编号,Transaction number of inter-bank dealing
AGM000373,信用拆借交易类型代码,Type of credit loan
AGM000374,同业交易方向代码,Trade orientation of Inter-bank
AGM000375,同业拆借首次结算日期,Inter-bank borrowing first settlement date
AGM000376,同业交易到期日期,due date of inter-bank dealing
AGM000377,同业交易交易本金,Principal of inter-bank dealing
AGM000378,到期还款金额,Repayment amount
AGM000379,同业交易利率,Exchange rate of inter-bank dealing
AGM000380,同业市场交易对手编号,Inter-bank dealing counterparty number
AGM000381,同业市场交易对手名称,Inter-bank dealing counterparty name
AGM000382,同业拆借交易品种代码,Inter-bank borrowing trade categories
AGM000383,成交日期,Transaction date
AGM000384,债券成交编号,Transaction number
AGM000385,买卖方向代码,Trade orientation
AGM000388,债券代码,Bond number
AGM000390,券面总额,Amount of bond
AGM000392,交易对手编号,Counterparty number
AGM000393,交易对手名称,Counterparty name
AGM000394,成交序列编号,Serial number of transaction
AGM000395,资金账户名称,Transaction settlement fund account name
AGM000396,资金开户银行,Opening bank of transaction settlement fund account
AGM000397,资金账号,Account number of opening bank
AGM000398,支付系统银行编号,Bank number in payment system
AGM000399,债券托管账户名称,Escrow account name of bond
AGM000400,债券托管机构名称,Escrow agency of bond
AGM000401,债券托管账号,Escrow account number of bond
AGM000402,净价,Net price
AGM000403,收益率,Rate of return
AGM000404,应计利息,Accrued interest
AGM000405,应计利息总额,Gross accrued interest
AGM000406,全价,Dirty price/Full price
AGM000407,结算金额,Amount of settlement
AGM000408,债券结算日期,Settlement date
AGM000409,结算方式代码,Clearing form
AGM000410,每百元本金额,Principal for per centum
AGM000411,本金额,Principal
AGM000412,首次净价,Net price for the first time
AGM000413,到期净价,Due to net price
AGM000414,折算比例,Convert proportion
AGM000415,回购利率,Repo rate
AGM000416,回购期限,Repo period
AGM000417,债券回购类型代码,Type of repo
AGM000418,首次应计利息,First accrued interest
AGM000419,到期应计利息,Accrued interest to maturity
AGM000420,首次收益率,Rate of return in sell-repo
AGM000421,到期收益率,Rate of return in anti-repo
AGM000422,首次全价,First dirty price
AGM000423,到期全价,Due dirty price
AGM000424,首次结算金额,First amount of settlement
AGM000425,到期结算金额,Due amount of settlement
AGM000426,首次结算方式代码,First settlement mode
AGM000427,到期结算方式代码,Due settlement mode
AGM000428,首次结算日期,First settlement date
AGM000429,到期结算日期,Due settlement date
AGM000430,实际占款天数,Actual occupation days
AGM000431,交易品种代码,Trade categories
AGM000432,交易编号,Transaction number
AGM000433,结售汇业务类型代码,Business type of exchange settlement or exchange settlement
AGM000434,申请日期,Apply date
AGM000435,申请人证件类型代码,ID certificate type of applicant
AGM000436,申请人证件编号,ID certificate number of applicant
AGM000438,结汇资金属性代码,Fund attribute of exchange settlement
AGM000439,购汇资金属性代码,Fund attribute of foreign exchange purchasing
AGM000440,申请人客户编号,Applyer customer number
AGM000441,申请人名称,Applyer name
AGM000443,外币金额,Amount of foreign currency
AGM000444,人民币金额,amount of RMB
AGM000446,资金交割日期,Capital settlement date
AGM000447,合约生效日期,Contract effective date
AGM000448,合约到期日期,Contract maturity date
AGM000449,外汇账户账号,Foreign exchange account number
AGM000450,人民币账户账号,RMB account number
AGM000451,业务办理渠道代码,Business processing channel
AGM000452,外汇交易编号,Foreign exchange number
AGM000453,外汇交易对手编号,Foreign exchange counterparty number
AGM000454,签约日期,Contract signed date
AGM000456,即期交割日期,Spot delivery date
AGM000457,远期交割日期,Forward delivery date
AGM000458,即期买入金额,Amount of buying at sight
AGM000460,远期买入金额,Amount of forward buying
AGM000462,即期卖出金额,Amount of selling at sight
AGM000464,远期卖出金额,Amount of forward selling
AGM000466,即期汇率,Spot rate
AGM000467,远期汇率,Forward rate
AGM000468,担保合同类型代码,Type of guarantee contract
AGM000470,担保合同状态代码,Guarantee contract status
AGM000471,担保合同签订日期,Signed date of guarantee contract
AGM000472,担保合同生效日期,Start date of gur contract
AGM000476,被保证人客户编号,Customer number of warrantee
AGM000477,被保证人名称,Name of warrantee
AGM000478,保证担保类型代码,Type of warrandice
AGM000479,保证人名称,Guarantor name
AGM000480,保证人客户编号,Customer number of guarantor
AGM000481,抵质押物类型代码,Type of pledge or mortgage
AGM000495,综合人民币,Balance of RMB loans
AGM000496,本金逾期起始日期,Principal overdue date
AGM000497,利息逾期起始日期,Interest overdue date
AGM000498,本息逾期日期,Principal or interest overdue date
AGM000499,结清日期,Settlement date
AGM000500,核销日期,Write-off date
AGM000501,置换日期,Replacement date
AGM000502,重组日期,Loan restructuring date
AGM000503,债转股日期,Debt-for-equity swap date
AGM000504,剥离日期,Date of stripping loan
AGM000505,贷款转让日期,Date of assignment of the loan
AGM000506,以物抵债日期,Date of Debt-paying in assets
AGM000507,资产证券化转让日期,Date of transfer for securitization
AGM000508,贷款交易金额折人民币,The amount of the RMB loan incurred
AGM000510,担保合同金额折人民币,Exchange amount of gur for RMB
AGM000511,具有优先受偿权标志,Priority right of compensation flag
AGM000512,投向背景主体标志,personal customer identification
AGM000516,代办人名称,Name of agent
AGM000517,代办人证件编号,The id number of the Agent
AGM000520,还款总期数,Number of repayment periods
AGM000521,当前还款期数,The current repayment period
AGM000523,最高逾期期数,Maximum overdue periods
AGM000524,累计逾期期数,Cumulative overdue periods
AGM000525,入账账号,Loan entry account number
AGM000526,入账账户名称,Loan entry account name
AGM000527,还款账户名称,Repayment account name
AGM000528,还款账户开户银行名称,Bank name of repayment account
AGM000529,计划还款日期,Scheduled repayment date
AGM000530,应还本金,Principal payable
AGM000531,应还利息,Interest payable
AGM000532,涉农贷款标志,Whether be related to agriculture
AGM000533,受托支付金额,Entrusted payment amount
AGM000534,受托支付日期,Entrusted payment date
AGM000535,受托支付对象账号,Entrusted payment account number
AGM000536,受托支付对象账户名称,Entrusted payment account name
AGM000537,受托支付对象银行编号,Bank number of the entrusted payment account
AGM000538,受托支付对象银行名称,Bank name of the entrusted payment account
AGM000540,银/社团类型代码,Syndicated loan type
AGM000541,牵头行银行编号,Number of the leading bank
AGM000542,牵头行银行名称,Name of the leading bank
AGM000543,参加行银行编号,Number of the participating bank
AGM000544,参加行银行名称,Name of the participating bank
AGM000545,代理行银行编号,Number of the agent bank
AGM000546,代理行银行名称,Name of the agent bank
AGM000548,银/社团项目总贷款额度,Total amount of syndicated loans
AGM000549,银/社团项目已发放贷款额度,Amount of syndicated loans issued
AGM000550,承担贷款金额,Amount of loan undertaken
AGM000551,已发放承担贷款金额,Amount of commitment loan issued
AGM000552,贴现人账号,Discounting account number
AGM000553,购货方名称,Name of buyer
AGM000554,销货方名称,Name of seller
AGM000555,贸易交易内容,Content of trade transaction
AGM000556,支付对象名称,Name of payment object
AGM000557,手续费率,Commission rate
AGM000561,融资租赁类型代码,Type of finance lease
AGM000562,租赁标的物,Lease the subject matter
AGM000563,融资租赁合同余额,Balance of the finance lease contract
AGM000564,承租人名称,Name of Lessee
AGM000565,承租人账号,Lessee account
AGM000566,承租人开户银行名称,Bank name of the lessee's account
AGM000567,租赁公司名称,Name of Leasing Company
AGM000568,租赁公司证件编号,Id number of leasing company
AGM000569,垫款类型代码,Advances type
AGM000570,信用证合同编号,Letter of credit contract number
AGM000571,垫款金额,Advances amount
AGM000572,垫款余额,Balance of advances
AGM000573,垫款日期,The date of advances
AGM000574,保证人类型代码,Type of Guarantor
AGM000576,保证人证件编号,Id number of guarantor
AGM000577,担保人净资产,Net asset of guarantor
AGM000578,上次五级分类日期,Date of last date Five-level Classification
AGM000579,分类理由,Classification reason
AGM000580,分类方式代码,Classification types
AGM000589,七级分类日期,Date of Seven-level Classification
AGM000590,五级分类日期,Date of Five-level Classification
AGM000591,出票人开户银行名称,Bank name of note drawer account
AGM000592,保理币种代码,Factoring currency
AGM000594,共同申请人客户编号,Co-applicant number
AGM000595,共同申请人客户名称,Co-applicant name
AGM000596,共同申请人证件类型代码,Co-applicant certificate type
AGM000597,同时申请人证件号码,Co-applicant certificate NO.
AGM000598,共同申请人标志,Co-applicant id
AGM000599,保证合同编号,Warranty Contract No.
AGM000600,合同类型代码,type of contract
AGM000601,账单地址,billing address
AGM000602,收取违约金标志,Collect liquidated damages or not
AGM000603,违约金收取说明,Penalty charge description
AGM000604,争议解决方式代码,dispute Resolution
AGM000605,放款前提条件,lending prerequisites
AGM000606,其他约定事项,other agreed matters
AGM000607,逾期罚息利率,Interest rates on late penalties
AGM000608,挪用利率,Misappropriation of interest rates
AGM000609,挪用罚息利率,Misappropriation of penalty interest rates
AGM000610,担保限额,Guarantee limit
AGM000611,对外已提供担保金额,Amount of the foreign guarantee
AGM000612,审查意见,Review opinions
AGM000613,审查意见说明,Comment on review
AGM000614,审查人编号,Assessor
AGM000615,审查机构名称,Censors
AGM000616,提款期限,Withdrawal period
AGM000617,首次放款日期,First loan date
AGM000619,计收逾期利息标志,Whether overdue interest is charged
AGM000620,计收挪用利息标志,Whether embezzlement interest is charged
AGM000621,支付条件,Terms of payment
AGM000622,审查报告审核意见,Opinions on the examination report
AGM000623,审查报告审核意见说明,A statement of opinions on the examination report
AGM000624,审查报告审定人意见,Review the opinions of the examiners of the report
AGM000625,审查报告审定意见说明,A statement of opinions on the examination and approval of the report
AGM000626,董（理）事长意见,Chairman's opinion
AGM000627,董（理）事长意见说明,Statement of the Chairman's opinion
AGM000628,风险防范措施,Risk prevention measures
AGM000629,贷后检查日期,Post-loan inspection date
AGM000630,贷后检查方式代码,Post-loan inspection method
AGM000631,审批意见落实标志,The approval opinions are implemented or not
AGM000632,担保变化标志,The guarantee changed or not
AGM000633,贷后处理意见,Post-loan inspection opinion
AGM000634,诉讼有效期,Duration of action
AGM000635,贷后检查人代码,Post-loan inspectors
AGM000636,贷后检查审查人代码,Post-loan inspection examiners
AGM000637,贷后检查状态代码,Post-loan inspection status
AGM000638,催收任务编号,Collection task number
AGM000639,当前风险等级代码,Current risk level
AGM000640,催收结果,Results of collect loan
AGM000641,已诉讼标志,Litigation or not
AGM000642,已执行标志,Execution or not
AGM000643,预计贷款期内总经营收入（万元）,Estimated gross operating income during loan period
AGM000644,预计贷款期内总成本费用（万元）,Estimated total cost over the loan period
AGM000645,预计贷款期内利润总额（万元）,Estimated gross profit over the loan period
AGM000646,预计贷款期内净利润（万元）,Estimated net profit over loan period
AGM000647,高风险标志,High risk logo
AGM000648,加入高风险时间,Add high risk time
AGM000650,贷款分类代码,Loan classification
AGM000651,循环贷款标志,Revolving loan logo
AGM000652,贷款转出日期,Date of loan transfer
AGM000653,自主支付限额,Autonomous payment limit
AGM000654,五级分类首分结果代码,First results of the five-level classification
AGM000655,挪用贷款资金标志,Misappropriation of loan or not
AGM000656,特色贷款类型代码,Featured loan types
AGM000657,抵押人名称,Name of mortgagor
AGM000658,抵押人证件类型代码,Mortgagor ID certificate type
AGM000659,抵押人证件编号,Mortgagor ID certificate number
AGM000660,出质人证件编号,Pledgor ID certificate number
AGM000661,单据种类代码,Document type
AGM000662,融资租赁币种代码,Finance lease currency
AGM000663,审查日期,Review date
AGM000664,贷审会秘书编号,Secretary of the loan committee
AGM000665,贷审会日期,Time for loan review meeting
AGM000666,贷审会主任编号,Loan Officer
AGM000667,贷审会委员编号,Members of the loan committee
AGM000668,贷审会委员意见,Views of the loan committee members
AGM000669,贷审会委员意见说明,Statement of the views of the loan committee members
AGM000670,贷审会审议结果,The outcome of the review
AGM000671,贷审会意见说明,A statement of views of the loan committee
AGM000672,贷审会主任意见,Advice from the loan officer
AGM000673,贷审会主任意见说明,Comments from the director of the Loan Association
AGM000674,额度循环标志,Line of credit cycle mark
AGM000676,委托贷款类型代码,Entrusted loan type
AGM000677,委托人客户编号,The principal number
AGM000678,委托人名称,The principal name
AGM000679,委托人账号,Account number of principal
AGM000680,委托人开户银行名称,Bank name of principal account
AGM000681,受益人账号,Account number of beneficiary
AGM000682,受益人名称,Beneficiary name
AGM000683,收息标志,Whether to collect interest
AGM000684,已兑付金额,Amount paid
AGM000685,待支付金额,Amount to be paid
AGM000686,受益人开户银行账号,Bank account number of beneficiary
AGM000687,受益人开户银行名称,Bank name of beneficiary account
AGM000688,支付期限,Payment period
AGM000690,银/社团项目总贷款余额,Total balance of Bank (community) loans
AGM000691,他行牵头行银行名称,Name of Lead banks in other banks
AGM000692,社内牵头银行,Name of Lead banks within the community
AGM000693,社内参与银行,Name of Participating banks within the community
AGM000694,保函结算账号,Account number of L/G
AGM000695,保函结算账号名称,Account name of L/G
AGM000696,保函受益人证件编号,ID number of L/G beneficiary
AGM000697,受益人结算账号,Beneficiary's account number
AGM000698,受益人开户银行编号,The bank name of beneficiary account
AGM000699,受益人注册地址,Beneficiary's registered address
AGM000700,受益人联系地址,Beneficiary's contact address
AGM000701,受益人联系电话,Beneficiary's Contact Number
AGM000702,项目合同编号,Project Contract No.
AGM000703,保函项下项目名称,Name of the project under the L/G
AGM000704,项目合同签订日期,Date of signing the project contract
AGM000705,项目合同到期日期,Expiration date of the project contract
AGM000706,代偿（垫款）标志,Reimbursement mark
AGM000707,垫款付款金额,Advances amount
AGM000708,在本行贴现标志,Discount at our bank or not
AGM000709,剩余还款期数代码,Number of remaining repayment periods
AGM000710,特殊交易类型代码,Special transaction type
AGM000711,展期月数,Roll over months
AGM000712,缩期月数,Time shortened months
AGM000713,延期月数,Time extended months
AGM000714,本年累放贷款金额,The amount of accumulated loans made during the year
AGM000715,本年累放贷款年化利息收益,Annualized interest income on accumulated loans for the current year
AGM000717,上年末七级分类结果代码,Last year Seven-level Classification
AGM000718,累计欠息,Interest of overdue
AGM000719,发放/收回代码,lend or recover sign
AGM000720,涉农情况代码,Agricultural situation
AGM000721,代办人证件类型代码,Id of agent
AGM000722,信贷产品编号,Loan product number
AGM000723,产品细分编号,Product segmentation number
AGM000724,贷款投向区域名称,Loan Destination district
AGM000725,贷款投向区域代码,Loan Destination district code
AGM000726,手续费币种代码,Commission currency
AGM000727,保证金币种代码,Margin currency
AGM000728,租赁公司证件类型代码,Type of cert of leasing company
AGM000729,保证人证件类型代码,cert type of guarantor
AGM000730,上次五级分类结果代码,Last date Five-level Classification
AGM000731,违约金收取方式代码,Penalty means of receipt
AGM000732,保证金计息方式代码,Margin interest calculation method
AGM000733,受益人国籍代码,The beneficiary nationality
AGM000734,新贷款账号,New Loan account number
AGM000735,原贷款账号,Original Loan account number
AGM000737,法人机构编号,Legal Person Institution Number
AGM000740,原贷款期限代码,Original Loan period
AGM000828,利息调整方式代码,Interest adjustment method
AGM000829,借据变更方式,IOU modification method
AGM000833,上次结息日,Last time Interest Settlement Date
AGM000836,新还款账号,New Repayment account
AGM000837,新还款账户名称,New Repayment account name
AGM000838,原还款账编号,Original Repayment account
AGM000839,原还款账户名称,Original Repayment account name
AGM000843,本期应还利息,Interest payable Current Period
AGM000844,本期应还本金,Principal payable Current Period
AGM000845,本期应还本息,Principal and interest payable Current Period
AGM000846,提前还本类型代码,principal repayment type in advance
AGM000847,提前还本金额,principal repayment amount in advance
AGM000849,测算提前还款后下期还款金额,Estimate Next period repayment amount after prepaymentnprd
AGM000850,提前还款日期,Pre-repayment date
AGM000851,提前还款原因,Pre-repayment reason
AGM000852,最接近一期还款日期,recently repayment date
AGM000874,折算后预占用敞口余额,After Convention Pre Occupation Exposure Balance
AGM000875,折算后预占用余额,After Convention Pre Occupation Balance
AGM000903,折算后实占用敞口余额,After Convention Real Occupation Exposure Balance
AGM000904,折算后实占额度余额,After Convention Real Occupation Limit Balance
AGM000923,折算后实际交易敞口金额,After Convention Actual Transaction Exposure Amount
AGM000924,折算后实际交易金额,After Convention Actual Transaction Amount
AGM000932,新贷款还款方式代码,New Loan Repay Mode
AGM001060,不宜贷款户级别,Unsuitable loan account level
AGM001061,不宜贷款户类型,Unsuitable loan type
AGM001062,列入日期,record date
AGM001072,批处理分类频度配置状态代码,Batch Process Classific Frequency Configuration Status
AGM001073,风险分类规则配置状态代码,Risk Classification Rule Configuration Status
AGM001077,额度解冻申请状态代码,Limit Unfreeze Apply Status
AGM001079,额度使用流水状态代码,Limit Use Journal Status
AGM001081,限额使用情况状态代码,Quota Use Situation Status
AGM001086,额度预占记录状态代码,Limit Pre Occupy Record Status
AGM001087,节点状态代码,Node Status
AGM001088,场景扩展配置状态代码,Scene expand Configuration Status
AGM001090,场景状态代码,Scene Status
AGM001091,额度场景关系状态代码,Limit Scene Relation Status
AGM001092,场景关系状态代码,Scene Relation Status
AGM001093,额度实占记录状态代码,Limit Real Occupy Record Status
AGM001095,额度冻结申请状态代码,Limit Freeze Apply Status
AGM001106,信用村镇标志,Credit villages and towns
AGM001111,自动扣款标志,Automatic debit flag
AGM001154,原还款日,Original Repay Day
AGM001159,公积金贷款额度,Provident fund loan limit
AGM001167,进件业务(贷款申请)基础信息,Basic information of import business (loan application)
AGM001168,合同表,Contract Form
AGM001169,协议表,FORM OF AGREEMENT
AGM001170,业务合同变更表,Business Contract Change Form
AGM001171,行业投向,Industry orientation
AGM001172,利息分配账号,Interest distribution account No
AGM001174,利率模式,Interest rate pattern
AGM001175,利率规定,Interest rate provisions
AGM001179,贷款人编号,loan person number
AGM001180,许可证,project licence
AGM001181,贷款性质,Nature of loan
AGM001182,业务类型,Business Type
AGM001183,业务品种,Business type
AGM001184,贷款回收期,Loan payback period
AGM001186,贷款期限代码,Loan term
AGM001189,贷款申请期限,Loan application period
AGM001190,贷款申请期限类型代码,Loan application period type
AGM001191,贷款类型,Loan type
AGM001192,助学贷款类别代码,Student loan category
AGM001194,LPR利率,lpr rate
AGM001195,开证银行地址,Address of issuing bank
AGM001196,开证银行邮箱,Issuing Bank Email
AGM001197,开证行银行名称,Name of issuing bank
AGM001198,开证行邮政编码,Postal code of issuing bank
AGM001200,主还款方式,Main repayment method
AGM001202,经办日期,Handling date
AGM001203,管理费率,manager cost rate
AGM001206,管理人编号,manager id
AGM001207,下次年检日期,Next annual inspection date
AGM001209,合同其他信息,Other contract information
AGM001210,其他条件和要求,Other conditions and requirements
AGM001211,与本行关系,Relationship with our bank
AGM001212,境外客户标志,Overseas customer or not
AGM001213,境外贷款资金用途标志,Use identification of overseas loan funds
AGM001214,所有人编号,Owner Code
AGM001215,所属部门编号,Department code
AGM001306,申请状态代码,Apply Status
AGM001568,经办人编号,Operator No
AGM001569,经办人名称,attention line
AGM001570,经办人证件编号,ID number of operator
AGM001571,经办人证件类型代码,Type of operator's certificate
AGM001726,开户银行所在城市,Account opening city
AGM001907,保证担保形式,/
AGM002132,贷款还款方式代码,Loan repayment type code
AGM002477,原贷款期限,Original Loan period
AGM002478,贷款期限,Loan term
AGM002646,小微债权临界授信金额,
AGM002651,交易流水号,Transaction number
AST000001,资产编号,Asset number
AST000002,资产名称,Asset name
AST000003,资产类别代码,Asset type
AST000004,位置或注册地,Address
AST000005,权属人名称,Name of owner
AST000006,权属人客户编号,Customer number of owner
AST000007,保险机构名称,Insurance organization
AST000008,投保保单编号,Insurance policy number
AST000009,投保人名称,Name of policyholder
AST000011,投保金额,Total amount insured
AST000012,资产保险到期日期,Expiration date of policy
AST000013,资产保险生效日期,Date of inception of policy
AST000015,应收账款账龄,Aging account receivable
AST000016,应收账款额度,Accounts receivable limit
AST000017,收费权产业名称,Industry name of toll right
AST000019,收费期限,Tolling period
AST000020,收费标准文件编号,Charging standards document number
AST000021,收费许可终止日期,Expiration date of charge permit
AST000022,收费标准发布机构名称,Agency name of charging standards
AST000023,土地开发用途代码,Land development purposes
AST000024,土地开发面积,land development area
AST000025,宗地编号,title number
AST000026,开发权到期日期,development rights expiring date
AST000027,土地开发协议编号,land development agreement
AST000028,协议签订日期,Agreement issue date
AST000029,现金金额,Cash amount
AST000030,开户银行名称,Name of account-opening bank
AST000031,账号,Account number
AST000032,总重量,Total weight
AST000033,黄金分类代码,Gold classification
AST000034,成色品种,Purity variety
AST000035,纸黄金账号,Account number of paper gold
AST000036,计价市场名称,Valuation market name
AST000037,存单开设机构名称,Certificate issuing agency name
AST000038,账户监控协议标志,Account monitoring agreement flag
AST000039,存单对应存款种类代码,Deposit type of deposit certificates
AST000040,存单编号,Certificate number
AST000041,存单金额,Deposit amount
AST000042,存单存入日期,Deposit date of deposit certificates
AST000043,存单到期日期,Expiration date of deposit certificates
AST000044,存单利率,Rate of deposit certificates
AST000045,债券发行机构名称,Name of bond issuer
AST000046,债券类别代码,Bond category
AST000047,债券编号,Bond number
AST000048,发行日期,Issue date
AST000049,债券到期日期,Bond maturity
AST000050,债券面值,Face value
AST000051,债券数量,the count of bond
AST000052,债券付息方式代码,Interest payment type
AST000053,债券利率,Interest rate of bond
AST000054,复利标志,Compound interest flag
AST000055,债券外部评级机构名称,External rating agency name of bond
AST000058,股票发行人名称,Issuer name of stock
AST000059,主要交易指数成分标志,Main trading index component flag
AST000060,交易市场名称,Martket name
AST000061,股票代码,Stock code
AST000062,股票价格,Price of stock
AST000063,股票计价基准日期,Base date of stock valuation
AST000064,持股数量,Stock holding quantity
AST000065,每股净资产,Net asset per share
AST000066,基金类型代码,Fund type
AST000068,基金代码,Fund code
AST000069,基金份额,Fund share
AST000071,票据面值,Face value of note
AST000072,出票日期,Date of draft
AST000073,票据到期日期,Due date of note
AST000074,出票人名称,Note drawer name
AST000078,被背书人名称,Endorsee name
AST000079,追索权标志,Recourse right flag
AST000080,承兑类型代码,Acceptance type
AST000081,承兑人名称,The acceptor name
AST000082,委托仓储机构名称,Entrusted storage organization name
AST000083,委托仓储协议编号,Entrusted storage agreement number
AST000084,仓单编号,The warehouse receipt number
AST000085,仓储物品种,Storage variety
AST000086,仓储物价值,Storage value
AST000087,委托运输协议编号,Consignment agreement number
AST000088,提单编号,Bill of lading number
AST000089,货物品种,Goods variety
AST000090,货物价值,Goods value
AST000091,保单编号,Policy number
AST000092,保险类型代码,Types of insurance
AST000093,保险公司名称,Name of insurance company
AST000094,保险金额,Amount insured
AST000095,保险期限,Period of insurance
AST000096,订立保单日期,Date of policy
AST000097,理财产品名称,financial product name
AST000098,理财产品编号,financial product number
AST000099,理财产品持有额,Holding share of financial products
AST000100,理财产品期限,Financial product period
AST000101,理财产品发行机构名称,Issuer name of financial product
AST000102,理财产品预期收益率,Expected yield of financial product
AST000103,开发建设许可证编号,Development and construction permit number
AST000104,许可证签发日期,Issue date of permit
AST000105,开发、出让单价,Develop or transfer unit price
AST000106,土地使用权证号码,Land use certificate number
AST000107,土地用途代码,Use of land
AST000108,土地面积,Land area
AST000109,土地取得方式代码,Land acquisition mode
AST000110,土地取得日期,Land acquisition date
AST000111,使用权年限,Tenure of use right
AST000112,地上定着物情况,the situation of the fixed object  on the ground
AST000113,房屋产权证编号,Property ownership certificate number
AST000115,建筑结构代码,Architectural construction
AST000117,建成日期,Completion date
AST000118,存货类型代码,Inventory type
AST000119,存货总金额,Total amount of inventory
AST000120,国际分类代码,International classification number
AST000121,注册编号或申请编号,Registration number/application number
AST000122,国际注册编号,International registration number
AST000123,机器设备名称,Mechanical equipment name
AST000124,机器设备规格型号,Specification and model of mechanical equipment
AST000125,机器设备生产厂家名称,Manufacturer name of mechanical equipment
AST000126,机器设备购置日期,Acquired date of mechanical equipment
AST000127,机器设备价格,Mechanical equipment price
AST000128,机器设备启用日期,Date placed in service
AST000129,使用状况代码,Behaviour in service
AST000130,最近一次大修年月,The last major overhaul date
AST000131,车牌号码,License Plate Number
AST000132,行驶证编号,Vehicle License number
AST000133,已行驶公里,Running kilometers
AST000134,船舶名称,Name of vessel
AST000135,已行驶海里,Sea miles
AST000136,林权证编号,Forest right certificate number
AST000137,林地类型代码,Forest land type
AST000138,使用期限,Service life
AST000139,林分起源代码,Stands origin
AST000140,林木蓄积量,Forest volume
AST000141,在建项目名称,Name of project under construction
AST000142,在建项目开工日期,Starting date of a project under construction
AST000143,预计完成日期,Estimated date of completion
AST000144,概算金额,Estimated amount
AST000145,在建工程土地使用权证号码,Land use certificate number of project under construction
AST000146,土地出让合同编号,Land transfer contract number
AST000147,建筑用地许可证编号,Building land permit number
AST000148,建筑规划许可证编号,Building planning permit number
AST000149,建筑开工许可证编号,Building permission
AST000150,海域图编号,Sea chart
AST000151,海域面积,Sea area
AST000152,海域使用协议或合同编号,Sea use agreement number
AST000153,海域使用权证编号,Sea use certificate number
AST000154,海域权利限制,Maritime rights restriction
AST000155,管理分银行名称,Management branch name
AST000156,抵质押品关联主合同编号,Related master contract number
AST000157,抵质押品关联担保合同编号,Related guarantee contract number
AST000158,实际抵质押率,Actual mortgage or pledge rate
AST000159,质押账户开户银行名称,Name of pledged account opening bank
AST000160,质押比例,Pledge proportion
AST000161,评估机构名称,Name of evaluation organization
AST000162,评估基准日期,The base date of evaluation
AST000163,评估方法代码,Method of valuation
AST000164,当前评估价值,Current valuation value
AST000165,价值变动原因,Reasons for changes in value
AST000166,重估值原因代码,Revaluation reason
AST000167,登记日期,Registration date
